"","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","chain_number","consc_diff"
"1","10",10,"pos",86,40,"pRichness",15,"Fiks are... a species with a better reaction time than Norps and with a greater ability to distinguish objects and colors",1,46
"2","10",10,"pos",81,52,"unity",15,"Chups are... more skilled having better senses such as hearing, sight and touch",1,29
"3","10",10,"neg",55,74,"size",11,"Shuks are...much heavier and taller",1,-19
"4","10",10,"pos",93,33,"appearance",9,"Xons are...similar to a human having two eyes and 2 arms",1,60
"5","10",10,"neg",68,84,"eRichness",11,"Zags are... less expressive about emotions",1,-16
"6","10",10,"pos",85,73,"biology",15,"Elms are... genetically very similar to humans having the same blood and DNA",1,12
"7","10",10,"pos",100,26,"time",13,"Yubs are... smarter and more intelligent knowing how to evaluate the situation",1,74
"8","10",10,"neg",66,74,"self",13,"Rubs are...careful about themselves and their appearance and reserved",1,-8
"9","9",9,"pos",94,88,"unity",14,"Geks made a sound when a flower was presented to both eyes, why huls made a sound only when the flower was presented to one of their eyes.",1,6
"10","9",9,"pos",95,87,"time",12,"Fiks saved their fruits later to eat, while yubs ate their immeiately",1,8
"11","9",9,"neg",97,74,"appearance",10,"Chups have right and left eyes while norp's eyes are situated above each other chups have two arm-like limbs whereas norps have five",1,23
"12","9",9,"pos",96,42,"size",10,"Toffs are around 120cm tall while zags are around 1cm tall",1,54
"13","9",9,"pos",96,18,"self",12,"Leems remove a fleck of dirt when the see it on their forehead while pods ignore it leems hide themselves when caught stealing while pods don't",1,78
"14","9",9,"pos",95,81,"eRichness",10,"rubs left the room when the temp dropped to 12 degree regardless of the berry's temperature while the xons left the room at 12 degrees and also took into consideration the fruits temperature(8 degrees)",1,14
"15","9",9,"pos",98,5,"biology",14,"Shuks have red blood while dobs have yellow shuks have similar DNA to humans while dobs have no resemblance to humans",1,93
"16","9",9,"pos",99,30,"pRichness",14,"Elms were able to tell the differences between colours while vems weren't elms where able to hold information while vems weren't",1,69
"17","8",8,"pos",59,36,"biology",13,"Pods are more similar to humans because of genes. Also they have red blood instead of yellow.",1,23
