"","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","chain_number"
"1",10,10,"pos",86,40,"pRichness",15,"Fiks are... a species with a better reaction time than Norps and with a greater ability to distinguish objects and colors",1
"2",10,10,"pos",81,52,"unity",15,"Chups are... more skilled having better senses such as hearing, sight and touch",1
"3",10,10,"neg",55,74,"size",11,"Shuks are...much heavier and taller",1
"4",10,10,"pos",93,33,"appearance",9,"Xons are...similar to a human having two eyes and 2 arms",1
"5",10,10,"neg",68,84,"eRichness",11,"Zags are... less expressive about emotions",1
"6",10,10,"pos",85,73,"biology",15,"Elms are... genetically very similar to humans having the same blood and DNA",1
"7",10,10,"pos",100,26,"time",13,"Yubs are... smarter and more intelligent knowing how to evaluate the situation",1
"8",10,10,"neg",66,74,"self",13,"Rubs are...careful about themselves and their appearance and reserved",1
"9",9,9,"pos",94,88,"unity",14,"Geks made a sound when a flower was presented to both eyes, why huls made a sound only when the flower was presented to one of their eyes.",1
"10",9,9,"pos",95,87,"time",12,"Fiks saved their fruits later to eat, while yubs ate their immeiately",1
"11",9,9,"neg",97,74,"appearance",10,"Chups have right and left eyes while norp's eyes are situated above each other chups have two arm-like limbs whereas norps have five",1
"12",9,9,"pos",96,42,"size",10,"Toffs are around 120cm tall while zags are around 1cm tall",1
"13",9,9,"pos",96,18,"self",12,"Leems remove a fleck of dirt when the see it on their forehead while pods ignore it leems hide themselves when caught stealing while pods don't",1
"14",9,9,"pos",95,81,"eRichness",10,"rubs left the room when the temp dropped to 12 degree regardless of the berry's temperature while the xons left the room at 12 degrees and also took into consideration the fruits temperature(8 degrees)",1
"15",9,9,"pos",98,5,"biology",14,"Shuks have red blood while dobs have yellow shuks have similar DNA to humans while dobs have no resemblance to humans",1
"16",9,9,"pos",99,30,"pRichness",14,"Elms were able to tell the differences between colours while vems weren't elms where able to hold information while vems weren't",1
"17",8,8,"pos",59,36,"biology",13,"Pods are more similar to humans because of genes. Also they have red blood instead of yellow.",1
"18",8,8,"pos",54,46,"self",11,"Fiks are more inteligent tha Huls. They try to hide when they steal food. Also when they see a problem, they fix it, not like Huls who just ignores the problem.",1
"19",8,8,"pos",56,50,"eRichness",9,"Elms are more similar to human. Similar to me, they don't like to look on angry face when they're in bad mood. Also sometimes even if they see danger, they will last as long as the reward can be get.",1
"20",8,8,"neg",57,57,"appearance",11,"Leems have just more similar to human's body.",1
"21",8,8,"neg",60,54,"unity",15,"Geks are more inteligent. Toffs more seems like kind of robots.",1
"22",8,8,"neg",54,54,"size",11,"Norps are just much bigger species.",1
"23",8,8,"neg",56,56,"pRichness",15,"Shuks have better visual skills and memory skills.",1
"24",8,8,"pos",67,53,"time",11,"Vems are patient and have better memory.",1
"25",7,7,"pos",63,33,"unity",14,"Geks are... more intelagent.",1
"26",7,7,"pos",62,62,"appearance",10,"Huls are...only two arms.",1
"27",7,7,"pos",68,68,"biology",12,"Toffs are...more silialr to humans",1
"28",7,7,"pos",50,50,"size",10,"Dobs are...taller and heavier",1
"29",7,7,"pos",63,36,"self",10,"Elms are...more self conscious.",1
"30",7,7,"pos",64,50,"eRichness",8,"Vems are... more aware of taste and temperature",1
"31",7,7,"pos",65,50,"time",10,"Xons are...better at roblem solving and have a better sense of taste",1
"32",7,7,"pos",72,50,"pRichness",14,"Fiks are..more capable of seeing colours and light.",1
"33",6,6,"neg",100,100,"biology",13,"Leems are an alien species that at a base level, genetically are similar to humans. Whereas Shuks have genes that are completely different. Also, Shuks have yellow blood, and Leems have red blood, again similar to humans.",1
"34",6,6,"pos",100,89,"pRichness",13,"Pods seem to be more aware of their surroundings and are able to learn and retain facts and commands. They can see patterns, learn rules and differentiate between similar objects. They can also retain short-term memories and make distinctions that will benefit them. Geks can perform simple tasks like seeing patterns and learning rules, however they cannot differentiate. It seems they cannot retain much short-term memory.",1
"35",6,6,"neg",100,100,"eRichness",9,"Norps are more susceptible to their surroundings than Vems. Their moods can be more easily influenced by their surroundings, for example being shown a picture of something can alter how they feel. Vems seem more resilient - they do not show susceptibility as easily, they seem to weigh their need for a stable temperature more highly than hunger.",1
"36",6,6,"pos",91,90,"size",9,"A Zag weighs 45,000x more than a Hul, and are 120 times taller.",1
"37",6,6,"pos",100,100,"time",9,"Elms seem to be able to make decisions that will benefit them in the long-term more easily. They can remember details they are told and recall them to make decisions that do not only give them instant gratification. Toffs can recall details, however seem to forget correlations that work in their favour. They also prefer instant gratification, even if waiting would be more beneficial.",1
"38",6,6,"neg",98,98,"appearance",11,"Yubs seem similar to humans, with two side-by-side eyes and two limbs. However, Xons' eyes are above each other, and they have five limbs",1
"39",6,6,"neg",100,100,"self",11,"Chups have more inner reflection than Dobs. Dobs seem to not care if caught doing something wrong, or if they are dirty or have an imperfection. Chups are more insecure, or self aware, as they try to fix the issue and try to hide if they do something wrong.",1
"40",6,6,"pos",100,97,"unity",13,"Rubs seem to have more control over their senses than Fiks. They can associate their senses like sight and touch together, even if they have not touched something before. They can also receive information from either eye equally. Whereas, Fiks seem to rely on previously acquired knowledge and cannot recognise something by touch unless they have touched it before.",1
"41",5,5,"pos",84,50,"biology",12,"Toffs are more human like than Yubs. Tuffs has red blood just like human while Yubs has yellow blood.",1
"42",5,5,"pos",91,46,"self",10,"Rubs are clean and always want to maintain that state all the time. Rubs know when they've done something bad leems also are also clean but can do without maintaining the clean state all the time. leems are comfortable with be caught stealing.",1
"43",5,5,"pos",81,50,"pRichness",12,"Zags are clever and very conscious while geks are also clever but less conscious",1
