"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",4,"5780d9a1900cc80001d2d1c2",10,"pos",70,71,"appearance",9,"Xons have two eyes side by side and two limbs. Geks, however, have two eyes one above the other and have five limbs"
"2",4,"5780d9a1900cc80001d2d1c2",10,"neg",86,63,"pRichness",15,"Vems are are able to distingious between very imilar items whereas the Chups cannot. Both are able to do simple tasks but the Vems remember for longer than the Chups"
"3",4,"5780d9a1900cc80001d2d1c2",10,"pos",83,58,"eRichness",13,"Huls are able to show there moods as when they are shown an angry face they continue to stare at it if they are happy but turn away if they are angry. The Elms just continue to stare regardless of their mood. Also, both the Huls and Elms don't like cold but Huls will stay for longer in a cold room if they have sweet space berries whereas, the Elms show no preferance"
"4",4,"5780d9a1900cc80001d2d1c2",10,"pos",82,58,"biology",13,"Pods are are similar to humans having the same 4 DNA genes and red blood where as the Toof have totally different DNA and yellow blood"
"5",4,"5780d9a1900cc80001d2d1c2",10,"pos",86,53,"time",11,"Dobs are are more intellegent as the mainly pick the right shaped key to access a locked box whereas the Zags just picked random keys. Also, the Dobs would wait for berries to ripen whereas the Zags would eat the less good unripe berries"
"6",4,"5780d9a1900cc80001d2d1c2",10,"neg",59,59,"unity",11,"Yubs are are able to be shown a picture of a fruit and the select it by touch whereas the Shuks cannot. However, when trained the Shuks can give a pavlovs dog reponse whereas the Yubs could not"
"7",4,"5780d9a1900cc80001d2d1c2",10,"pos",26,27,"size",11,"Leems are are a lot heavier and very much taller than the Norps"
"8",4,"5780d9a1900cc80001d2d1c2",10,"neg",80,46,"self",13,"Fiks and Rubs like to keep themselves clean but if a Fik sees dirt on his face he will try to remove it whereas a Rub would ignore the device showing him the dirt. Also both spieces steal from their neighbours but when the Fiks are caught they try to hid whereas the Rubs do not"
"9",4,"5eab095edf5d490aef65a2da",9,"pos",94,55,"biology",12,"Vems are... Vems have similar DNA to humans unlike pods Vems also have red blood whereas pods have yellow blood."
"10",4,"5eab095edf5d490aef65a2da",9,"neg",58,62,"eRichness",14,"Leems are able to feel good and bad moods, however when a leem is shown an angry face it will look away if in a bad mood, whereas shuks will look at the face no matter their mood."
"11",4,"5eab095edf5d490aef65a2da",9,"neg",45,57,"time",12,"Rubs are... impatient compared to dobs, as they didn't wait for the berries to ripen. Rubs however understood they needed the triangle key to open the box and remembered that whereas the dobs didnt necessarily choose the triangfle key"
"12",4,"5eab095edf5d490aef65a2da",9,"pos",76,42,"pRichness",14,"Chups have stronger memories than elms"
"13",4,"5eab095edf5d490aef65a2da",9,"neg",61,56,"appearance",10,"Huls have 5 arms and yubs have 2, yubs also have two eyes on top of eachother whereas huls have right and left eyes."
"14",4,"5eab095edf5d490aef65a2da",9,"neg",60,64,"unity",12,"When Geks are shown a printed image of a new fruit, they are able to recognise it by touch only even if they have never touched t before. When zags are shown the image they cannot recognise the fruit by only touch."
"15",4,"5eab095edf5d490aef65a2da",9,"neg",77,72,"size",12,"Norps weight about 7 stone and are much taller than xons which are about 1g and a couple cm tall."
"16",4,"5eab095edf5d490aef65a2da",9,"pos",90,68,"self",12,"Toffs clean them self if they see dirt on them self in a mirror, they also live in small groups and steal food from their neighbours and hide if caught Fiks dont clean themselves if they notice they are dirty in the mirror and they also steal food but dont hide if they are caught."
"17",4,"5f5a4d7af233b40d54c6a53e",8,"pos",92,88,"self",11,"Toffs are... able to recognise themselves in the mirror, and have a sense of self-preservation (hide when they're caught stealing food from the neighbours)"
"18",4,"5f5a4d7af233b40d54c6a53e",8,"pos",89,76,"eRichness",13,"Chups are... More in tune with their emotional state and can respond to external displays of emotion (when shown an angry/happy face for example). They're also able to weigh their needs and desires and decide on their course of action based on that."
"19",4,"5f5a4d7af233b40d54c6a53e",8,"pos",71,71,"biology",11,"Geks are... Biologically (genetically) more similar to humans; they have the same nucleic acids as humans do, and their blood looks the same to human blood (whether or not their composition is the same isn't known however)."
"20",4,"5f5a4d7af233b40d54c6a53e",8,"pos",89,77,"pRichness",13,"Shuks are... able to spot the difference between 2 very similar objects (like shades of colour), and they're also able to retain pieces of information in their memory for some time"
"21",4,"5f5a4d7af233b40d54c6a53e",8,"pos",90,79,"unity",11,"Zags are... able to combine information from different senses (like touch and sight), as well as integrate information between 2 eyes (so what they've learnt to do with one eye, they can replicate with the other)"
"22",4,"5f5a4d7af233b40d54c6a53e",8,"pos",53,53,"appearance",9,"Elms are... Phenotypically more similar to humans, with the same eye orientation (right and left) and the same limb morphology (2 arm-like limbs)"
"23",4,"5f5a4d7af233b40d54c6a53e",8,"pos",86,82,"time",11,"Huls are... able to plan ahead for the future, and also seem to be able to relate certain decisions/choices to what they've previously learned/experienced"
