"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",1,"5be677307514d00001084e85",109,"pos",100,100,"discrimination",18,"more perceptive"
"2",1,"5be677307514d00001084e85",109,"pos",100,100,"trace",14,"more patient"
"3",1,"5be677307514d00001084e85",109,"neg",50,50,"blood",12,"different blood"
"4",1,"5be677307514d00001084e85",109,"pos",50,49,"DNA",16,"different DNA"
"5",1,"5be677307514d00001084e85",109,"pos",100,85,"deception",10,"more perceptive"
"6",1,"5be677307514d00001084e85",109,"neg",49,48,"limbs",10,"lesser arms"
"7",1,"5be677307514d00001084e85",109,"pos",73,59,"mirror",12,"cleaner"
"8",1,"5be677307514d00001084e85",109,"pos",55,54,"eyes",12,"position of eyes"
"9",1,"5f29eff59714081a3594a331",108,"pos",100,100,"discrimination",17,"Geks can differentiate."
"10",1,"5f29eff59714081a3594a331",108,"pos",19,21,"eyes",11,"Position of eyes"
"11",1,"5f29eff59714081a3594a331",108,"neg",6,3,"limbs",11,"arm-like limbs number"
"12",1,"5f29eff59714081a3594a331",108,"pos",100,87,"trace",13,"Time difference"
"13",1,"5f29eff59714081a3594a331",108,"neg",83,57,"deception",11,"Withdrawal when caught"
"14",1,"5f29eff59714081a3594a331",108,"pos",15,18,"DNA",15,"Human DNA resemblance"
"15",1,"5f29eff59714081a3594a331",108,"pos",100,50,"mirror",11,"Dirt removal"
"16",1,"5f29eff59714081a3594a331",108,"pos",0,0,"blood",11,"Blood's colour"
"17",1,"599973b4336b6b000159e62d",107,"pos",75,75,"blood",10,"Blood colour"
"18",1,"599973b4336b6b000159e62d",107,"neg",75,69,"mirror",12,"Use mirrors"
"19",1,"599973b4336b6b000159e62d",107,"neg",82,79,"trace",14,"Treat awareness"
"20",1,"599973b4336b6b000159e62d",107,"pos",72,72,"limbs",10,"Number of limbs"
"21",1,"599973b4336b6b000159e62d",107,"pos",77,76,"DNA",14,"Connection to humans"
"22",1,"599973b4336b6b000159e62d",107,"pos",79,78,"deception",10,"Sneakyness"
"23",1,"599973b4336b6b000159e62d",107,"pos",76,75,"eyes",10,"Eye locations"
"24",1,"599973b4336b6b000159e62d",107,"pos",83,81,"discrimination",16,"Idenitfy objects"
"25",1,"5b59a51fca6d01000157a8c3",106,"neg",59,55,"deception",11,"Huls hide when they are caught stealing food and Yubs do not"
"26",1,"5b59a51fca6d01000157a8c3",106,"neg",50,49,"discrimination",17,"Object discrimination"
"27",1,"5b59a51fca6d01000157a8c3",106,"pos",94,50,"mirror",11,"Mirror self recognition"
"28",1,"5b59a51fca6d01000157a8c3",106,"pos",50,51,"limbs",9,"Number of limbs"
"29",1,"5b59a51fca6d01000157a8c3",106,"neg",50,39,"trace",15,"Associative learning ability"
"30",1,"5b59a51fca6d01000157a8c3",106,"neg",50,51,"DNA",15,"Biological similarity to humans"
"31",1,"5b59a51fca6d01000157a8c3",106,"neg",50,51,"eyes",11,"Eye position"
"32",1,"5b59a51fca6d01000157a8c3",106,"neg",48,51,"blood",11,"Blood colour"
"33",1,"5fc4c0f61de4be951356ef9b",105,"neg",67,43,"mirror",12,"Leems more clean"
"34",1,"5fc4c0f61de4be951356ef9b",105,"neg",58,58,"limbs",10,"Chups have less limbs"
"35",1,"5fc4c0f61de4be951356ef9b",105,"neg",65,61,"trace",16,"Fiks are cleverer"
"36",1,"5fc4c0f61de4be951356ef9b",105,"pos",50,50,"eyes",10,"Dobs have human-like eyes"
"37",1,"5fc4c0f61de4be951356ef9b",105,"pos",70,58,"deception",10,"Zags are inconspicious"
"38",1,"5fc4c0f61de4be951356ef9b",105,"neg",73,67,"discrimination",18,"Yubs more observant"
"39",1,"5fc4c0f61de4be951356ef9b",105,"pos",50,50,"blood",10,"Different coloured blood"
"40",1,"5fc4c0f61de4be951356ef9b",105,"neg",49,51,"DNA",16,"Human DNA present"
"41",1,"5ed225b7b49d48185e9e56ae",104,"neg",24,18,"limbs",11,"two arm limbs"
"42",1,"5ed225b7b49d48185e9e56ae",104,"neg",19,16,"blood",11,"blood is red"
"43",1,"5ed225b7b49d48185e9e56ae",104,"pos",9,15,"deception",9,"hide themselves"
"44",1,"5ed225b7b49d48185e9e56ae",104,"neg",17,21,"discrimination",19,"difference between objects"
