"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","consc_diff"
"1",1,130,130,"neg",58,59,"limbs",11,"fewer limbs.",-1
"2",1,130,130,"neg",71,72,"mirror",17,"dislike dirty foreheads.",-1
"3",1,130,130,"neg",82,70,"discrimination",15,"differentiate between objects.",12
"4",1,130,130,"neg",74,66,"trace",17,"differentiate more easily.",8
"5",1,130,130,"pos",77,56,"deception",9,"can hide themselves.",21
"6",1,130,130,"neg",53,53,"blood",11,"different colour blood.",0
"7",1,130,130,"neg",54,55,"eyes",13,"different eye placement.",-1
"8",1,130,130,"neg",53,54,"DNA",17,"resemble human DNA.",-1
"9",1,129,129,"neg",100,100,"mirror",18,"reaction to dirt",0
"10",1,129,129,"pos",100,100,"eyes",12,"the placement of their eyes",0
"11",1,129,129,"neg",100,100,"DNA",18,"gene makeup",0
"12",1,129,129,"neg",100,100,"limbs",12,"number of limbs",0
"13",1,129,129,"neg",100,100,"discrimination",16,"seeing similar objects",0
"14",1,129,129,"neg",100,100,"blood",12,"color of blood",0
"15",1,129,129,"neg",100,100,"deception",10,"hiding when caught",0
"16",1,129,129,"neg",100,100,"trace",18,"training retension",0
"17",1,128,128,"pos",76,77,"eyes",11,"Eyes alignment",-1
"18",1,128,128,"neg",95,96,"deception",11,"Huls don't hide",-1
"19",1,128,128,"pos",79,37,"discrimination",15,"Fiks have attention to detail",42
"20",1,128,128,"neg",99,64,"mirror",19,"Chups dont ignore",35
"21",1,128,128,"pos",39,39,"blood",11,"Elm blood is red, not yellow",0
"22",1,128,128,"pos",37,60,"limbs",11,"Pods have two arms",-23
"23",1,128,128,"pos",42,55,"DNA",17,"Shuk genes have same chemical blocks as human DNA",-13
"24",1,128,128,"pos",72,82,"trace",17,"Geks are patient",-10
"25",1,127,127,"neg",28,29,"DNA",18,"chemical building blocks",-1
"26",1,127,127,"neg",48,43,"mirror",20,"Chups don't understand mirrors.",5
"27",1,127,127,"pos",27,25,"blood",10,"blood color",2
"28",1,127,127,"neg",30,34,"trace",18,"Zags have worse memory",-4
"29",1,127,127,"pos",32,30,"limbs",10,"number of arms",2
"30",1,127,127,"neg",40,32,"discrimination",16,"ability to differenciate similar objects",8
"31",1,127,127,"pos",43,37,"deception",10,"Huls hide themselves",6
"32",1,127,127,"pos",36,35,"eyes",10,"orientation of the eyes",1
"33",1,126,126,"pos",100,100,"DNA",17,"the similarities or lack thereof between their chemical building blocks and human dna",0
"34",1,126,126,"neg",53,53,"blood",11,"the color of their blood",0
"35",1,126,126,"pos",100,100,"deception",9,"whether they hide themselves when caught stealing food",0
"36",1,126,126,"neg",51,51,"eyes",11,"the location of their eyes",0
"37",1,126,126,"pos",52,54,"limbs",9,"the number of limbs they have",-2
"38",1,126,126,"neg",63,57,"trace",19,"their ability to associate stimulus with reward",6
"39",1,126,126,"pos",100,100,"mirror",19,"their decision to remove dirt from their faces",0
"40",1,126,126,"neg",100,100,"discrimination",17,"their ability to differentiate between similar objects",0
"41",1,125,125,"pos",100,18,"deception",8,"Huls feel guilt.",82
"42",1,125,125,"neg",91,70,"trace",20,"Xons have patience.",21
"43",1,125,125,"pos",52,50,"blood",10,"Blood color",2
"44",1,125,125,"pos",78,80,"eyes",10,"Eye positioning.",-2
"45",1,125,125,"pos",77,66,"DNA",16,"Human DNA resemblance.",11
"46",1,125,125,"pos",95,39,"mirror",18,"Recognition of self",56
"47",1,125,125,"neg",86,87,"discrimination",18,"Object differentiation.",-1
"48",1,125,125,"neg",90,90,"limbs",10,"Number of arm-like limbs",0
"49",1,124,124,"pos",98,98,"trace",19,"how long it took",0
"50",1,124,124,"neg",100,100,"mirror",19,"ignore their reflection",0
"51",1,124,124,"pos",81,66,"discrimination",17,"can't see difference",15
"52",1,124,124,"neg",76,77,"blood",11,"different colour blood",-1
"53",1,124,124,"pos",65,63,"limbs",9,"the amount of limbs",2
"54",1,124,124,"neg",44,64,"deception",9,"they hide when caught",-20
"55",1,124,124,"neg",60,56,"eyes",11,"eyes in different place",4
"56",1,124,124,"neg",43,73,"DNA",17,"different chemical resemblance",-30
"57",1,123,123,"pos",68,66,"limbs",8,"Number of arms",2
"58",1,123,123,"pos",86,66,"mirror",18,"Self reflection",20
"59",1,123,123,"neg",57,56,"eyes",12,"Eye location",1
"60",1,123,123,"pos",58,39,"trace",18,"Delayed gratification",19
"61",1,123,123,"pos",83,62,"discrimination",16,"Understanding of similarity",21
"62",1,123,123,"pos",91,71,"deception",8,"Sense of guilt",20
"63",1,123,123,"neg",37,37,"DNA",18,"Genetic material",0
"64",1,123,123,"neg",31,31,"blood",12,"Blood colour",0
"65",1,122,122,"neg",48,47,"eyes",13,"location of eyes",1
"66",1,122,122,"pos",48,48,"deception",7,"behavior when caught",0
"67",1,122,122,"pos",38,39,"blood",11,"color of blood",-1
"68",1,122,122,"pos",44,46,"DNA",17,"construction of genes",-2
"69",1,122,122,"neg",45,46,"trace",19,"reaction to flash",-1
"70",1,122,122,"neg",48,47,"mirror",19,"keeping clean",1
"71",1,122,122,"neg",43,44,"discrimination",17,"distinguishing similar objects",-1
"72",1,122,122,"neg",46,46,"limbs",9,"number of limbs",0
"73",1,121,121,"pos",98,98,"limbs",8,"more arms",0
"74",1,121,121,"neg",98,99,"discrimination",18,"not very clever",-1
"75",1,121,121,"pos",100,100,"DNA",16,"Elms nearer human",0
"76",1,121,121,"pos",98,98,"trace",18,"Attention span",0
"77",1,121,121,"pos",97,99,"mirror",18,"Dislike of mirrors",-2
"78",1,121,121,"pos",99,98,"eyes",12,"Binocular vision",1
"79",1,121,121,"pos",100,97,"blood",10,"Blood different colour",3
"80",1,121,121,"pos",99,98,"deception",6,"Unashamed thieves",1
"81",1,120,120,"neg",21,21,"trace",19,"light treat interval",0
"82",1,120,120,"neg",13,14,"eyes",13,"Eye placement",-1
"83",1,120,120,"pos",13,13,"DNA",15,"Human DNA resemblance",0
"84",1,120,120,"neg",18,20,"limbs",9,"arm-like limb count",-2
"85",1,120,120,"pos",36,14,"mirror",17,"Mirror self-recognition",22
"86",1,120,120,"pos",33,28,"discrimination",17,"Color awareness",5
"87",1,120,120,"neg",14,14,"blood",11,"Blood color",0
"88",1,120,120,"pos",16,10,"deception",5,"Displays of guilt",6
"89",1,119,119,"neg",39,53,"deception",6,"Toff's attempt to hide when being caught stealing food",-14
"90",1,119,119,"pos",60,50,"blood",10,"different colour blood",10
"91",1,119,119,"pos",66,50,"mirror",16,"Norps clean their face",16
"92",1,119,119,"pos",55,50,"limbs",8,"Shuks have 2 arms",5
"93",1,119,119,"pos",63,55,"discrimination",16,"Pods tell difference between similar objects",8
"94",1,119,119,"pos",69,56,"eyes",12,"Rubs have left and right eyes",13
"95",1,119,119,"pos",82,76,"trace",18,"Fiks make association between light and awaited treat",6
"96",1,119,119,"pos",89,65,"DNA",14,"Elms share human DNA",24
"97",1,118,118,"neg",100,88,"limbs",9,"Xons has two arm links and Huls has five",12
"98",1,118,118,"neg",100,15,"mirror",17,"Geks are more clean",85
